Wavelength	T
800.00	99.5
790.00	99.5
780.00	99.6
770.00	99.5
760.00	99.5
750.00	99.6
740.00	99.6
730.00	99.6
720.00	99.6
710.00	99.6
700.00	99.6
690.00	99.6
680.00	99.6
670.00	99.6
660.00	99.6
650.00	99.6
640.00	99.6
630.00	99.6
620.00	99.6
610.00	99.6
600.00	99.6
590.00	99.6
580.00	99.6
570.00	99.6
560.00	99.6
550.00	99.5
540.00	99.5
530.00	99.5
520.00	99.5
510.00	99.4
500.00	99.4
490.00	99.4
480.00	99.3
470.00	99.3
460.00	99.3
450.00	99.2
440.00	99.2
430.00	99.0
420.00	99.0
410.00	99.0
400.00	98.9
390.00	98.8
380.00	98.7
370.00	98.6
360.00	98.5
350.00	98.4
340.00	98.2
330.00	98.0
320.00	97.8
310.00	97.5
300.00	97.1
290.00	96.6
280.00	96.0
270.00	95.4
260.00	94.6
250.00	93.7

