Wavelength	T
800.00	99.5
790.00	99.5
780.00	99.5
770.00	99.5
760.00	99.5
750.00	99.5
740.00	99.5
730.00	99.5
720.00	99.6
710.00	99.6
700.00	99.6
690.00	99.6
680.00	99.6
670.00	99.6
660.00	99.6
650.00	99.6
640.00	99.6
630.00	99.6
620.00	99.6
610.00	99.6
600.00	99.6
590.00	99.6
580.00	99.6
570.00	99.6
560.00	99.6
550.00	99.6
540.00	99.7
530.00	99.6
520.00	99.6
510.00	99.6
500.00	99.7
490.00	99.6
480.00	99.6
470.00	99.6
460.00	99.6
450.00	99.6
440.00	99.6
430.00	99.5
420.00	99.5
410.00	99.5
400.00	99.4
390.00	99.3
380.00	99.2
370.00	99.0
360.00	98.8
350.00	98.5
340.00	98.2
330.00	97.8
320.00	97.3
310.00	96.5
300.00	95.4
290.00	94.0
280.00	92.7
270.00	91.7
260.00	90.7
250.00	89.4

