Wavelength	T
600.00	99.7
599.00	99.7
598.00	99.7
597.00	99.6
596.00	99.6
595.00	99.6
594.00	99.6
593.00	99.6
592.00	99.6
591.00	99.6
590.00	99.6
589.00	99.6
588.00	99.6
587.00	99.6
586.00	99.7
585.00	99.7
584.00	99.7
583.00	99.7
582.00	99.6
581.00	99.6
580.00	99.7
579.00	99.7
578.00	99.7
577.00	99.7
576.00	99.7
575.00	99.6
574.00	99.6
573.00	99.6
572.00	99.6
571.00	99.6
570.00	99.6
569.00	99.6
568.00	99.6
567.00	99.6
566.00	99.6
565.00	99.6
564.00	99.6
563.00	99.6
562.00	99.6
561.00	99.6
560.00	99.6
559.00	99.6
558.00	99.6
557.00	99.6
556.00	99.6
555.00	99.6
554.00	99.6
553.00	99.6
552.00	99.6
551.00	99.6
550.00	99.6
549.00	99.6
548.00	99.6
547.00	99.6
546.00	99.6
545.00	99.6
544.00	99.7
543.00	99.7
542.00	99.7
541.00	99.7
540.00	99.7
539.00	99.7
538.00	99.7
537.00	99.7
536.00	99.7
535.00	99.7
534.00	99.7
533.00	99.7
532.00	99.7
531.00	99.7
530.00	99.7
529.00	99.7
528.00	99.7
527.00	99.7
526.00	99.7
525.00	99.7
524.00	99.7
523.00	99.7
522.00	99.7
521.00	99.7
520.00	99.7
519.00	99.7
518.00	99.7
517.00	99.7
516.00	99.7
515.00	99.7
514.00	99.7
513.00	99.7
512.00	99.8
511.00	99.8
510.00	99.8
509.00	99.7
508.00	99.7
507.00	99.7
506.00	99.7
505.00	99.7
504.00	99.7
503.00	99.7
502.00	99.7
501.00	99.7
500.00	99.7
499.00	99.7
498.00	99.7
497.00	99.7
496.00	99.7
495.00	99.7
494.00	99.7
493.00	99.7
492.00	99.7
491.00	99.7
490.00	99.7
489.00	99.7
488.00	99.7
487.00	99.7
486.00	99.7
485.00	99.7
484.00	99.7
483.00	99.7
482.00	99.7
481.00	99.7
480.00	99.7
479.00	99.7
478.00	99.7
477.00	99.7
476.00	99.7
475.00	99.7
474.00	99.7
473.00	99.7
472.00	99.7
471.00	99.7
470.00	99.7
469.00	99.7
468.00	99.7
467.00	99.7
466.00	99.7
465.00	99.7
464.00	99.7
463.00	99.7
462.00	99.7
461.00	99.7
460.00	99.7
459.00	99.7
458.00	99.6
457.00	99.6
456.00	99.6
455.00	99.6
454.00	99.6
453.00	99.6
452.00	99.6
451.00	99.6
450.00	99.6
449.00	99.6
448.00	99.6
447.00	99.6
446.00	99.6
445.00	99.6
444.00	99.6
443.00	99.6
442.00	99.6
441.00	99.6
440.00	99.6
439.00	99.6
438.00	99.6
437.00	99.6
436.00	99.6
435.00	99.6
434.00	99.6
433.00	99.6
432.00	99.6
431.00	99.5
430.00	99.5
429.00	99.5
428.00	99.5
427.00	99.5
426.00	99.5
425.00	99.5
424.00	99.5
423.00	99.5
422.00	99.4
421.00	99.4
420.00	99.4
419.00	99.4
418.00	99.4
417.00	99.4
416.00	99.4
415.00	99.4
414.00	99.4
413.00	99.3
412.00	99.3
411.00	99.3
410.00	99.3
409.00	99.3
408.00	99.3
407.00	99.3
406.00	99.3
405.00	99.3
404.00	99.3
403.00	99.3
402.00	99.3
401.00	99.3
400.00	99.3
399.00	99.3
398.00	99.3
397.00	99.3
396.00	99.3
395.00	99.3
394.00	99.3
393.00	99.3
392.00	99.2
391.00	99.2
390.00	99.2
389.00	99.2
388.00	99.2
387.00	99.2
386.00	99.2
385.00	99.2
384.00	99.2
383.00	99.2
382.00	99.2
381.00	99.2
380.00	99.2
379.00	99.2
378.00	99.2
377.00	99.2
376.00	99.2
375.00	99.2
374.00	99.2
373.00	99.2
372.00	99.2
371.00	99.2
370.00	99.2
369.00	99.2
368.00	99.1
367.00	99.1
366.00	99.1
365.00	99.1
364.00	99.1
363.00	99.1
362.00	99.1
361.00	99.1
360.00	99.1
359.00	99.1
358.00	99.1
357.00	99.1
356.00	99.1
355.00	99.1
354.00	99.1
353.00	99.1
352.00	99.1
351.00	99.1
350.00	99.1
349.00	99.0
348.00	99.0
347.00	99.0
346.00	99.0
345.00	98.9
344.00	98.9
343.00	98.9
342.00	98.9
341.00	98.9
340.00	98.9
339.00	98.9
338.00	98.9
337.00	98.9
336.00	98.9
335.00	98.9
334.00	98.9
333.00	98.8
332.00	98.8
331.00	98.8
330.00	98.8
329.00	98.7
328.00	98.7
327.00	98.7
326.00	98.7
325.00	98.7
324.00	98.7
323.00	98.7
322.00	98.7
321.00	98.7
320.00	98.6
319.00	98.6
318.00	98.6
317.00	98.6
316.00	98.6
315.00	98.5
314.00	98.5
313.00	98.5
312.00	98.5
311.00	98.4
310.00	98.4
309.00	98.4
