Wavelength	T
600.00	100.3
599.00	100.3
598.00	100.3
597.00	100.3
596.00	100.3
595.00	100.3
594.00	100.3
593.00	100.3
592.00	100.3
591.00	100.4
590.00	100.4
589.00	100.4
588.00	100.4
587.00	100.4
586.00	100.4
585.00	100.4
584.00	100.4
583.00	100.4
582.00	100.4
581.00	100.3
580.00	100.4
579.00	100.3
578.00	100.3
577.00	100.3
576.00	100.3
575.00	100.3
574.00	100.3
573.00	100.3
572.00	100.3
571.00	100.3
570.00	100.3
569.00	100.3
568.00	100.3
567.00	100.3
566.00	100.3
565.00	100.3
564.00	100.3
563.00	100.3
562.00	100.3
561.00	100.3
560.00	100.3
559.00	100.3
558.00	100.3
557.00	100.3
556.00	100.3
555.00	100.3
554.00	100.3
553.00	100.3
552.00	100.3
551.00	100.3
550.00	100.3
549.00	100.3
548.00	100.3
547.00	100.3
546.00	100.3
545.00	100.3
544.00	100.3
543.00	100.3
542.00	100.3
541.00	100.3
540.00	100.3
539.00	100.3
538.00	100.4
537.00	100.4
536.00	100.4
535.00	100.4
534.00	100.4
533.00	100.4
532.00	100.4
531.00	100.4
530.00	100.4
529.00	100.4
528.00	100.4
527.00	100.4
526.00	100.4
525.00	100.4
524.00	100.4
523.00	100.4
522.00	100.4
521.00	100.3
520.00	100.4
519.00	100.4
518.00	100.4
517.00	100.4
516.00	100.4
515.00	100.4
514.00	100.4
513.00	100.4
512.00	100.4
511.00	100.4
510.00	100.4
509.00	100.4
508.00	100.4
507.00	100.4
506.00	100.4
505.00	100.4
504.00	100.4
503.00	100.4
502.00	100.4
501.00	100.4
500.00	100.4
499.00	100.4
498.00	100.4
497.00	100.4
496.00	100.4
495.00	100.4
494.00	100.4
493.00	100.4
492.00	100.4
491.00	100.4
490.00	100.4
489.00	100.4
488.00	100.3
487.00	100.3
486.00	100.3
485.00	100.3
484.00	100.3
483.00	100.3
482.00	100.4
481.00	100.4
480.00	100.4
479.00	100.4
478.00	100.4
477.00	100.4
476.00	100.4
475.00	100.4
474.00	100.4
473.00	100.3
472.00	100.3
471.00	100.3
470.00	100.3
469.00	100.3
468.00	100.3
467.00	100.3
466.00	100.3
465.00	100.3
464.00	100.3
463.00	100.3
462.00	100.3
461.00	100.3
460.00	100.3
459.00	100.3
458.00	100.3
457.00	100.3
456.00	100.3
455.00	100.3
454.00	100.3
453.00	100.3
452.00	100.3
451.00	100.3
450.00	100.3
449.00	100.3
448.00	100.3
447.00	100.3
446.00	100.3
445.00	100.3
444.00	100.3
443.00	100.3
442.00	100.3
441.00	100.3
440.00	100.3
439.00	100.3
438.00	100.3
437.00	100.3
436.00	100.3
435.00	100.3
434.00	100.3
433.00	100.3
432.00	100.3
431.00	100.3
430.00	100.3
429.00	100.3
428.00	100.3
427.00	100.3
426.00	100.3
425.00	100.3
424.00	100.3
423.00	100.3
422.00	100.3
421.00	100.3
420.00	100.3
419.00	100.3
418.00	100.3
417.00	100.3
416.00	100.3
415.00	100.3
414.00	100.3
413.00	100.3
412.00	100.3
411.00	100.3
410.00	100.3
409.00	100.3
408.00	100.3
407.00	100.3
406.00	100.3
405.00	100.3
404.00	100.3
403.00	100.3
402.00	100.3
401.00	100.3
400.00	100.3
399.00	100.3
398.00	100.3
397.00	100.3
396.00	100.3
