Wavelength	T
600.00	99.7
599.00	99.8
598.00	99.8
597.00	99.8
596.00	99.8
595.00	99.8
594.00	99.8
593.00	99.8
592.00	99.8
591.00	99.7
590.00	99.7
589.00	99.7
588.00	99.7
587.00	99.7
586.00	99.8
585.00	99.8
584.00	99.8
583.00	99.8
582.00	99.8
581.00	99.8
580.00	99.8
579.00	99.8
578.00	99.8
577.00	99.8
576.00	99.8
575.00	99.8
574.00	99.8
573.00	99.8
572.00	99.8
571.00	99.8
570.00	99.8
569.00	99.8
568.00	99.8
567.00	99.8
566.00	99.8
565.00	99.8
564.00	99.8
563.00	99.8
562.00	99.8
561.00	99.8
560.00	99.8
559.00	99.8
558.00	99.8
557.00	99.8
556.00	99.8
555.00	99.8
554.00	99.8
553.00	99.8
552.00	99.8
551.00	99.8
550.00	99.8
549.00	99.8
548.00	99.8
547.00	99.8
546.00	99.8
545.00	99.8
544.00	99.8
543.00	99.8
542.00	99.8
541.00	99.8
540.00	99.8
539.00	99.8
538.00	99.8
537.00	99.8
536.00	99.8
535.00	99.8
534.00	99.8
533.00	99.8
532.00	99.8
531.00	99.8
530.00	99.8
529.00	99.8
528.00	99.7
527.00	99.7
526.00	99.7
525.00	99.7
524.00	99.7
523.00	99.7
522.00	99.7
521.00	99.7
520.00	99.7
519.00	99.7
518.00	99.7
517.00	99.7
516.00	99.7
515.00	99.7
514.00	99.7
513.00	99.7
512.00	99.7
511.00	99.7
510.00	99.7
509.00	99.7
508.00	99.7
507.00	99.7
506.00	99.7
505.00	99.7
504.00	99.7
503.00	99.7
502.00	99.7
501.00	99.7
500.00	99.7
499.00	99.7
498.00	99.7
497.00	99.7
496.00	99.6
495.00	99.6
494.00	99.6
493.00	99.6
492.00	99.6
491.00	99.6
490.00	99.6
489.00	99.7
488.00	99.7
487.00	99.7
486.00	99.7
485.00	99.7
484.00	99.7
483.00	99.7
482.00	99.7
481.00	99.7
480.00	99.7
479.00	99.7
478.00	99.7
477.00	99.7
476.00	99.7
475.00	99.7
474.00	99.7
473.00	99.7
472.00	99.7
471.00	99.7
470.00	99.7
469.00	99.7
468.00	99.7
467.00	99.7
466.00	99.7
465.00	99.7
464.00	99.7
463.00	99.7
462.00	99.7
461.00	99.7
460.00	99.7
459.00	99.7
458.00	99.7
457.00	99.7
456.00	99.7
455.00	99.7
454.00	99.7
