Wavelength	T
600.00	100.0
599.00	100.0
598.00	100.0
597.00	100.0
596.00	100.0
595.00	100.0
594.00	100.0
593.00	100.0
592.00	100.0
591.00	100.0
590.00	100.0
589.00	100.0
588.00	99.9
587.00	99.9
586.00	99.9
585.00	99.9
584.00	99.9
583.00	100.0
582.00	100.0
581.00	100.0
580.00	100.0
579.00	99.9
578.00	99.9
577.00	99.9
576.00	99.9
575.00	99.9
574.00	99.9
573.00	99.9
572.00	99.9
571.00	100.0
570.00	99.9
569.00	99.9
568.00	99.9
567.00	99.9
566.00	99.9
565.00	99.9
564.00	99.9
563.00	99.9
562.00	99.9
561.00	100.0
560.00	100.0
559.00	100.0
558.00	100.0
557.00	100.0
556.00	100.0
555.00	99.9
554.00	99.9
553.00	99.9
552.00	99.9
551.00	99.9
550.00	99.9
549.00	99.9
548.00	99.9
547.00	99.9
546.00	100.0
545.00	100.0
544.00	100.0
543.00	100.0
542.00	100.0
541.00	100.0
540.00	100.0
539.00	100.0
538.00	100.0
537.00	99.9
536.00	99.9
535.00	99.9
534.00	99.9
533.00	99.9
532.00	99.9
531.00	99.9
530.00	99.9
529.00	99.9
528.00	99.9
527.00	99.9
526.00	99.9
525.00	99.9
524.00	99.9
523.00	99.9
522.00	99.9
521.00	99.9
520.00	99.9
519.00	99.9
518.00	100.0
517.00	100.0
516.00	100.0
515.00	100.0
514.00	100.0
513.00	100.0
512.00	100.0
511.00	100.0
510.00	100.0
509.00	100.0
508.00	100.0
507.00	100.0
506.00	100.0
505.00	99.9
504.00	99.9
503.00	99.9
502.00	99.9
501.00	99.9
500.00	99.9
499.00	99.9
498.00	99.9
497.00	99.9
496.00	99.9
495.00	99.9
494.00	99.9
493.00	99.9
492.00	99.9
491.00	99.9
490.00	100.0
489.00	100.0
488.00	100.0
487.00	100.0
486.00	100.0
485.00	99.9
484.00	100.0
483.00	100.0
482.00	100.0
481.00	100.0
480.00	100.0
479.00	100.0
478.00	100.0
477.00	100.0
476.00	100.0
475.00	100.0
474.00	100.0
473.00	100.0
472.00	100.0
471.00	100.0
470.00	100.0
469.00	100.0
468.00	100.0
467.00	100.0
466.00	100.0
465.00	100.0
464.00	100.0
463.00	100.0
462.00	100.0
461.00	100.0
460.00	100.0
459.00	99.9
458.00	99.9
457.00	100.0
456.00	100.0
455.00	100.0
454.00	100.0
453.00	100.0
452.00	100.0
451.00	100.0
450.00	100.0
449.00	100.0
448.00	100.0
447.00	100.0
446.00	100.0
445.00	100.0
444.00	100.0
443.00	100.0
442.00	100.0
441.00	100.0
440.00	100.0
439.00	100.0
438.00	100.0
437.00	100.0
436.00	100.0
435.00	100.0
434.00	100.0
433.00	100.0
432.00	100.0
431.00	100.0
430.00	100.0
429.00	100.0
428.00	100.0
427.00	100.0
426.00	100.0
425.00	100.0
424.00	100.0
423.00	100.0
422.00	100.0
421.00	100.0
420.00	100.0
419.00	100.0
418.00	100.0
417.00	100.0
416.00	100.0
415.00	100.0
414.00	100.0
413.00	100.0
412.00	100.0
411.00	100.0
410.00	100.0
409.00	100.0
408.00	100.0
407.00	100.0
406.00	100.0
405.00	100.0
404.00	100.0
403.00	100.0
402.00	100.0
401.00	100.0
400.00	100.0
399.00	100.0
398.00	100.0
397.00	100.0
396.00	100.0
395.00	100.0
394.00	100.0
393.00	100.0
392.00	100.0
391.00	100.0
390.00	100.0
389.00	100.0
388.00	100.0
387.00	100.0
386.00	99.9
385.00	100.0
384.00	100.0
383.00	100.0
382.00	100.0
381.00	100.0
380.00	100.0
379.00	100.0
378.00	100.0
377.00	100.0
376.00	100.0
375.00	100.0
374.00	100.0
373.00	100.0
372.00	100.0
371.00	100.0
370.00	100.0
369.00	100.0
368.00	100.0
367.00	100.0
366.00	100.0
365.00	100.0
364.00	100.0
363.00	100.0
362.00	100.0
361.00	100.0
360.00	100.0
359.00	100.0
358.00	100.0
357.00	100.0
356.00	100.0
355.00	100.0
354.00	100.0
353.00	100.0
352.00	100.0
351.00	100.0
350.00	100.0
349.00	100.0
348.00	100.0
347.00	100.0
346.00	100.0
345.00	100.0
344.00	100.0
343.00	100.0
342.00	100.0
341.00	100.0
340.00	100.0
339.00	100.0
338.00	100.0
337.00	100.0
336.00	100.0
335.00	100.0
334.00	100.0
333.00	100.0
332.00	100.0
331.00	100.0
330.00	100.0
329.00	100.0
328.00	100.0
327.00	100.0
326.00	100.0
325.00	100.0
324.00	100.0
323.00	100.0
322.00	99.9
321.00	99.9
320.00	99.9
319.00	99.9
318.00	99.9
317.00	99.9
316.00	99.9
315.00	99.9
314.00	99.9
313.00	99.9
312.00	99.9
311.00	99.9
310.00	99.9
309.00	99.9
308.00	99.9
307.00	99.9
306.00	99.9
305.00	99.9
304.00	99.9
303.00	99.9
302.00	99.9
301.00	99.9
300.00	99.9
299.00	99.9
298.00	99.9
297.00	99.9
296.00	99.9
295.00	99.9
294.00	99.9
293.00	99.9
292.00	99.9
291.00	99.9
290.00	99.9
289.00	99.9
288.00	99.9
287.00	99.9
286.00	99.9
285.00	99.9
284.00	99.9
283.00	99.9
282.00	99.9
281.00	99.9
280.00	99.9
279.00	99.9
278.00	99.9
277.00	99.9
276.00	99.9
275.00	99.9
274.00	99.9
273.00	99.9
272.00	99.9
271.00	99.9
270.00	99.9
269.00	99.9
268.00	99.9
267.00	99.9
266.00	99.9
265.00	99.9
264.00	99.9
263.00	99.9
262.00	99.9
261.00	99.9
260.00	99.9
259.00	99.9
258.00	99.9
257.00	99.9
256.00	99.9
255.00	99.9
254.00	99.9
253.00	99.9
252.00	99.9
251.00	99.9
250.00	99.9
249.00	99.9
248.00	99.9
247.00	99.9
246.00	99.9
245.00	99.9
244.00	100.0
243.00	100.0
242.00	100.0
241.00	100.0
240.00	100.0
239.00	99.9
238.00	99.9
237.00	99.9
236.00	99.9
235.00	99.9
234.00	99.9
233.00	99.9
232.00	99.9
231.00	99.9
230.00	99.9
229.00	99.9
228.00	99.9
227.00	99.9
226.00	99.9
225.00	99.9
224.00	99.9
223.00	99.9
222.00	99.9
221.00	99.9
220.00	99.9
219.00	99.9
218.00	99.9
217.00	99.9
216.00	99.9
215.00	99.9
214.00	99.9
213.00	99.9
212.00	99.9
211.00	99.9
210.00	99.9
209.00	99.9
208.00	99.9
207.00	99.9
206.00	99.9
205.00	99.9
204.00	99.9
203.00	99.9
202.00	100.0
201.00	100.0
200.00	100.0

