Wavelength	T
600.00	91.8
599.00	91.8
598.00	91.7
597.00	91.7
596.00	91.7
595.00	91.7
594.00	91.6
593.00	91.6
592.00	91.6
591.00	91.6
590.00	91.6
589.00	91.5
588.00	91.5
587.00	91.5
586.00	91.5
585.00	91.5
584.00	91.5
583.00	91.4
582.00	91.4
581.00	91.4
580.00	91.4
579.00	91.4
578.00	91.3
577.00	91.3
576.00	91.3
575.00	91.3
574.00	91.3
573.00	91.3
572.00	91.2
571.00	91.2
570.00	91.2
569.00	91.2
568.00	91.2
567.00	91.2
566.00	91.1
565.00	91.1
564.00	91.1
563.00	91.1
562.00	91.1
561.00	91.0
560.00	91.0
559.00	91.0
558.00	91.0
557.00	90.9
556.00	90.9
555.00	90.9
554.00	90.9
553.00	90.8
552.00	90.8
551.00	90.8
550.00	90.8
549.00	90.7
548.00	90.7
547.00	90.7
546.00	90.7
545.00	90.6
544.00	90.6
543.00	90.6
542.00	90.6
541.00	90.6
540.00	90.6
539.00	90.6
538.00	90.5
537.00	90.5
536.00	90.5
535.00	90.5
534.00	90.5
533.00	90.4
532.00	90.4
531.00	90.4
530.00	90.4
529.00	90.3
528.00	90.3
527.00	90.3
526.00	90.3
525.00	90.3
524.00	90.2
523.00	90.2
522.00	90.1
521.00	90.1
520.00	90.0
519.00	90.0
518.00	90.0
517.00	90.0
516.00	90.0
515.00	90.0
514.00	89.9
513.00	89.9
512.00	89.9
511.00	89.9
510.00	89.9
509.00	89.9
508.00	89.8
507.00	89.8
506.00	89.8
505.00	89.7
504.00	89.7
503.00	89.7
502.00	89.6
501.00	89.6
500.00	89.6
499.00	89.5
498.00	89.5
497.00	89.5
496.00	89.5
495.00	89.4
494.00	89.4
493.00	89.4
492.00	89.4
491.00	89.4
490.00	89.3
489.00	89.3
488.00	89.3
487.00	89.3
486.00	89.2
485.00	89.2
484.00	89.2
483.00	89.1
482.00	89.1
481.00	89.0
480.00	89.0
479.00	88.9
478.00	88.9
477.00	88.9
476.00	88.8
475.00	88.8
