Wavelength	T
600.00	66.7
599.00	66.6
598.00	66.6
597.00	66.5
596.00	66.5
595.00	66.4
594.00	66.4
593.00	66.3
592.00	66.3
591.00	66.2
590.00	66.2
589.00	66.1
588.00	66.1
587.00	66.0
586.00	66.0
585.00	65.9
584.00	65.9
583.00	65.8
582.00	65.8
581.00	65.7
580.00	65.7
579.00	65.6
578.00	65.6
577.00	65.5
576.00	65.5
575.00	65.4
574.00	65.4
573.00	65.3
572.00	65.3
571.00	65.2
570.00	65.2
569.00	65.1
568.00	65.0
567.00	65.0
566.00	64.9
565.00	64.9
564.00	64.8
563.00	64.8
562.00	64.7
561.00	64.7
560.00	64.6
559.00	64.6
558.00	64.5
557.00	64.5
556.00	64.4
555.00	64.3
554.00	64.3
553.00	64.2
552.00	64.1
551.00	64.1
550.00	64.0
549.00	64.0
548.00	63.9
547.00	63.8
546.00	63.8
545.00	63.8
544.00	63.7
543.00	63.7
542.00	63.6
541.00	63.6
540.00	63.5
539.00	63.5
538.00	63.4
537.00	63.4
536.00	63.3
535.00	63.3
534.00	63.2
533.00	63.2
532.00	63.1
531.00	63.1
530.00	63.0
529.00	62.9
528.00	62.9
527.00	62.9
526.00	62.8
525.00	62.7
524.00	62.7
523.00	62.6
522.00	62.5
521.00	62.5
520.00	62.4
519.00	62.3
518.00	62.3
517.00	62.2
516.00	62.2
515.00	62.1
514.00	62.1
513.00	62.0
512.00	62.0
511.00	62.0
510.00	61.9
509.00	61.9
508.00	61.8
507.00	61.8
506.00	61.7
505.00	61.7
504.00	61.6
503.00	61.5
502.00	61.5
501.00	61.4
500.00	61.3
499.00	61.3
498.00	61.2
497.00	61.2
496.00	61.1
495.00	61.1
494.00	61.0
493.00	61.0
492.00	60.9
491.00	60.9
490.00	60.8
489.00	60.7
488.00	60.7
487.00	60.6
486.00	60.6
485.00	60.5
484.00	60.5
483.00	60.4
482.00	60.4
481.00	60.3
480.00	60.2
479.00	60.2
478.00	60.1
477.00	60.1
476.00	60.0
475.00	59.9
474.00	59.9
473.00	59.8
472.00	59.8
471.00	59.7
470.00	59.7
469.00	59.6
468.00	59.6
467.00	59.5
466.00	59.4
465.00	59.4
464.00	59.3
463.00	59.3
462.00	59.3
461.00	59.2
460.00	59.1
459.00	59.1
458.00	59.0
457.00	59.0
456.00	58.9
455.00	58.8
454.00	58.8
453.00	58.7
452.00	58.6
451.00	58.6
450.00	58.5
449.00	58.4
448.00	58.4
447.00	58.3
446.00	58.2
445.00	58.2
444.00	58.1
443.00	58.1
442.00	58.0
441.00	57.9
440.00	57.9
439.00	57.8
438.00	57.7
437.00	57.7
436.00	57.6
435.00	57.5
434.00	57.5
433.00	57.4
432.00	57.3
431.00	57.3
430.00	57.2
429.00	57.2
428.00	57.1
427.00	57.0
426.00	57.0
425.00	56.9
424.00	56.8
423.00	56.8
422.00	56.7
421.00	56.7
420.00	56.6
419.00	56.5
418.00	56.5
417.00	56.4
416.00	56.4
415.00	56.3
414.00	56.3
413.00	56.2
412.00	56.1
411.00	56.1
410.00	56.0
409.00	56.0
408.00	55.9
407.00	55.8
406.00	55.8
405.00	55.7
404.00	55.7
403.00	55.6
402.00	55.6
401.00	55.5
400.00	55.4
399.00	55.4
398.00	55.3
397.00	55.2
396.00	55.2
395.00	55.1
394.00	55.1
393.00	55.0
392.00	54.9
391.00	54.9
390.00	54.8
389.00	54.7
388.00	54.7
387.00	54.6
386.00	54.5
385.00	54.5
384.00	54.4
383.00	54.4
382.00	54.3
381.00	54.3
380.00	54.2
379.00	54.2
378.00	54.1
377.00	54.1
376.00	54.0
375.00	53.9
374.00	53.9
373.00	53.8
372.00	53.8
371.00	53.7
370.00	53.6
369.00	53.6
368.00	53.5
367.00	53.5
366.00	53.4
365.00	53.3
364.00	53.3
363.00	53.2
362.00	53.1
361.00	53.1
360.00	53.0
359.00	53.0
358.00	52.9
357.00	52.8
356.00	52.8
355.00	52.7
354.00	52.6
353.00	52.6
352.00	52.5
351.00	52.5
350.00	52.4
349.00	52.3
348.00	52.3
347.00	52.2
346.00	52.1
345.00	52.1
344.00	52.0
343.00	51.9
342.00	51.9
341.00	51.8
340.00	51.7
339.00	51.7
338.00	51.6
337.00	51.5
336.00	51.4
335.00	51.3
334.00	51.3
333.00	51.2
332.00	51.2
331.00	51.1
330.00	51.1
329.00	51.0
328.00	50.9
327.00	50.8
326.00	50.8
325.00	50.7
324.00	50.6
323.00	50.6
322.00	50.5
321.00	50.5
320.00	50.4
319.00	50.4
318.00	50.3
317.00	50.3
316.00	50.2
315.00	50.1
314.00	50.1
313.00	50.0
312.00	49.9
311.00	49.8
310.00	49.8
309.00	49.7
308.00	49.7
307.00	49.7
306.00	49.6
305.00	49.6
304.00	49.5
303.00	49.5
302.00	49.4
301.00	49.4
300.00	49.3
299.00	49.3
298.00	49.2
297.00	49.2
296.00	49.1
295.00	49.0
294.00	49.0
293.00	48.9
292.00	48.9
291.00	48.8
290.00	48.8
289.00	48.7
288.00	48.7
287.00	48.7
286.00	48.6
285.00	48.5
284.00	48.5
283.00	48.4
282.00	48.4
281.00	48.3
280.00	48.3
279.00	48.1
278.00	47.9
277.00	47.5
276.00	47.2
275.00	46.9
274.00	46.7
273.00	46.7
272.00	46.8
271.00	47.0
270.00	47.2
269.00	47.4
268.00	47.4
267.00	47.4
266.00	47.3
265.00	47.2
264.00	47.1
263.00	47.0
262.00	46.9
261.00	46.9
260.00	46.8
259.00	46.7
258.00	46.7
257.00	46.6
256.00	46.6
255.00	46.5
254.00	46.4
253.00	46.4
252.00	46.3
251.00	46.3
250.00	46.3
249.00	46.2
248.00	46.1
247.00	46.0
246.00	45.9
245.00	45.8
244.00	45.7
243.00	45.6
242.00	45.4
241.00	45.3
240.00	45.0
239.00	44.8
238.00	44.4
237.00	44.1
236.00	43.7
235.00	43.2
234.00	42.6
233.00	42.1
232.00	41.4
231.00	40.7
230.00	39.8
229.00	38.9
228.00	38.0
227.00	36.9
226.00	35.9
225.00	34.7
224.00	33.6
223.00	32.4
222.00	31.3
221.00	30.1
220.00	28.9
219.00	27.7
