Wavelength	T
600.00	101.8
599.00	101.8
598.00	101.8
597.00	101.8
596.00	101.8
595.00	101.8
594.00	101.8
593.00	101.8
592.00	101.8
591.00	101.8
590.00	101.7
589.00	101.7
588.00	101.7
587.00	101.7
586.00	101.7
585.00	101.7
584.00	101.7
583.00	101.7
582.00	101.7
581.00	101.7
580.00	101.8
579.00	101.8
578.00	101.8
577.00	101.8
576.00	101.8
575.00	101.8
574.00	101.8
573.00	101.8
572.00	101.8
571.00	101.8
570.00	101.8
569.00	101.8
568.00	101.8
567.00	101.8
566.00	101.7
565.00	101.7
564.00	101.7
563.00	101.7
562.00	101.7
561.00	101.7
560.00	101.7
559.00	101.7
558.00	101.7
557.00	101.7
556.00	101.7
555.00	101.7
554.00	101.7
553.00	101.7
552.00	101.7
551.00	101.7
550.00	101.7
549.00	101.7
548.00	101.7
547.00	101.7
546.00	101.7
545.00	101.7
544.00	101.7
543.00	101.7
542.00	101.7
541.00	101.7
540.00	101.8
539.00	101.8
538.00	101.8
537.00	101.8
536.00	101.8
535.00	101.8
534.00	101.8
533.00	101.8
532.00	101.8
531.00	101.8
530.00	101.8
529.00	101.8
528.00	101.8
527.00	101.8
526.00	101.8
525.00	101.8
524.00	101.8
523.00	101.7
522.00	101.7
521.00	101.7
520.00	101.7
519.00	101.7
518.00	101.7
517.00	101.7
516.00	101.7
515.00	101.7
514.00	101.7
513.00	101.7
512.00	101.7
511.00	101.7
510.00	101.7
509.00	101.7
508.00	101.8
507.00	101.8
506.00	101.8
505.00	101.7
504.00	101.7
503.00	101.7
502.00	101.7
501.00	101.7
500.00	101.7
499.00	101.7
498.00	101.7
497.00	101.7
496.00	101.6
495.00	101.6
494.00	101.6
493.00	101.6
492.00	101.7
491.00	101.6
490.00	101.7
489.00	101.7
488.00	101.7
487.00	101.6
486.00	101.6
485.00	101.6
484.00	101.6
483.00	101.6
482.00	101.6
481.00	101.6
480.00	101.6
479.00	101.6
478.00	101.6
477.00	101.6
476.00	101.6
475.00	101.6
474.00	101.6
473.00	101.6
472.00	101.6
471.00	101.6
470.00	101.6
469.00	101.6
468.00	101.6
467.00	101.6
466.00	101.6
465.00	101.6
464.00	101.6
463.00	101.6
462.00	101.6
461.00	101.6
460.00	101.5
459.00	101.5
458.00	101.5
457.00	101.5
456.00	101.5
455.00	101.5
454.00	101.5
453.00	101.5
452.00	101.5
451.00	101.5
450.00	101.4
449.00	101.4
448.00	101.4
447.00	101.3
446.00	101.3
445.00	101.3
444.00	101.3
443.00	101.3
442.00	101.3
441.00	101.3
440.00	101.3
439.00	101.3
438.00	101.3
437.00	101.3
436.00	101.3
435.00	101.3
434.00	101.3
433.00	101.3
432.00	101.3
431.00	101.3
430.00	101.2
429.00	101.2
428.00	101.2
